,time,open,high,low,close,vol_,volume,btc_two_crows,btc_THREE_BLACK_CROWS,btc_THREE_INSIDE_UP_DOWN,CDL_3_LINE_STRIKE,CDL_3_OUTSIDE,CDL_3_STARS_IN_SOUTH,CDL_3_WHITE_SOLDIERS,CDL_ABANDONED_BABY,CDL_ADVANCE_BLOCK,btc_CDL_BELT_HOLD,btc_CDL_BREAK_AWAY,btc_CDL_CLOSING_MARUBOZU
4982,1664702100,19280.1,19282.7,19280.0,19282.3,0.35558691,6856.349989312,0,0,0,0,0,0,0,0,0,0,0,0
4983,1664702400,19282.4,19284.3,19276.0,19276.0,0.19790029,3816.121146821,0,0,0,0,0,0,0,0,0,0,0,-100
4984,1664702700,19278.9,19290.0,19278.9,19286.8,0.25094496,4839.865264338,0,0,0,0,0,0,0,0,0,100,0,0
4985,1664703000,19286.8,19286.8,19280.0,19280.0,2.20974344,42618.332372532,0,0,0,0,0,0,0,0,0,-100,0,-100
4986,1664703300,19280.1,19280.1,19243.2,19250.7,11.54562004,222444.463313738,0,0,0,0,0,0,0,0,0,-100,0,0
4987,1664703600,19246.6,19256.2,19238.7,19251.5,0.54382197,10466.061872935,0,0,0,0,0,0,0,0,0,0,0,0
4988,1664703900,19252.7,19266.3,19236.2,19259.8,2.96136669,57020.559275721,0,0,0,0,0,0,0,0,0,0,0,0
4989,1664704200,19257.0,19266.0,19255.9,19262.2,2.63653578,50782.860146172,0,0,0,0,0,0,0,0,0,0,0,0
4990,1664704500,19261.0,19262.4,19251.0,19252.3,0.3668624,7066.107591019,0,0,0,0,0,0,0,0,0,0,0,-100
4991,1664704800,19252.4,19260.8,19252.4,19260.8,0.36901261,7105.451638249,0,0,0,0,0,0,0,0,0,100,0,100
4992,1664705100,19260.8,19264.4,19256.2,19264.4,15.84615966,305233.155412156,0,0,0,0,0,0,0,0,0,0,0,0
4993,1664705400,19260.1,19260.1,19222.0,19231.0,2.02584136,39005.015101331,0,0,0,0,0,0,0,0,0,-100,0,0
4994,1664705700,19231.0,19233.4,19188.7,19216.6,25.69939717,493804.733373768,0,0,0,0,0,0,0,0,0,0,0,0
4995,1664706000,19216.7,19216.7,19057.4,19129.3,62.76516168,1200769.179319634,0,0,0,0,0,0,0,0,0,-100,0,0
4996,1664706300,19127.3,19127.3,19035.9,19055.4,18.71202688,356784.847825558,0,0,0,0,0,0,0,0,0,-100,0,0
4997,1664706600,19060.2,19115.6,19054.6,19111.3,11.73239091,224126.031419753,0,0,0,0,0,0,0,0,0,0,0,0
4998,1664706900,19111.3,19143.6,19097.6,19143.6,5.72946377,109608.457435631,0,0,0,0,0,0,0,0,0,0,0,100
4999,1664707200,19143.7,19143.7,19104.2,19120.6,5.31228528,101601.905989627,0,0,0,0,0,0,0,0,0,0,0,0
5000,1664707500,19112.3,19122.6,19110.1,19110.1,0.95332326,18224.703369745,0,0,0,0,0,0,0,0,0,0,0,0
5001,1664707800,19110.1,19124.4,19106.0,19124.4,5.88615438,112497.685986428,0,0,0,0,0,0,0,0,0,0,0,0
5002,1664708100,19119.5,19119.5,19088.8,19106.4,14.3065,273209.54403216,0,0,0,0,0,0,0,0,0,0,0,0
