,time,open,high,low,close,vol_,volume,btc_RSI,btc_MACD,btc_macsignal,btc_macdhist,btc_ADX,btc_Aroon,btc_Trendmode,btc_two_crows,btc_THREE_BLACK_CROWS,btc_THREE_INSIDE_UP_DOWN,CDL_3_LINE_STRIKE,CDL_3_OUTSIDE,CDL_3_STARS_IN_SOUTH,CDL_3_WHITE_SOLDIERS,CDL_ABANDONED_BABY,CDL_ADVANCE_BLOCK,btc_CDL_BELT_HOLD,btc_CDL_BREAK_AWAY,btc_CDL_CLOSING_MARUBOZU
98,1663300500,19733.8,19742.9,19733.8,19736.7,1.35238988,26696.897560531,50.90563394106474,-0.2973184755719558,-1.9257917418646606,1.6284732662927048,15.426619832909362,85.71428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1663300800,19736.7,19753.2,19736.7,19753.2,0.24746395,4888.174514514,53.95032411163088,0.9871498487118515,-1.3432034237493582,2.3303532724612097,15.267778069714089,78.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1663301100,19753.2,19768.4,19753.1,19768.4,0.50961342,10070.405859767,56.61934446843835,2.908887147470523,-0.4927853095053819,3.4016724569759047,15.634694872794709,71.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1663301400,19768.4,19790.0,19768.4,19789.1,0.62211273,12310.816497948,60.017957553196354,5.6489589339071244,0.7355635391771195,4.913395394730005,16.615983378695883,85.71428571428572,0,0,0,0,0,0,0,100,0,0,100,0,100
102,1663301700,19789.9,19835.2,19789.9,19834.2,6.89232519,136551.527612527,66.22629361998727,10.464582377993793,2.681367306940454,7.7832150710533385,18.548731373667,92.85714285714286,0,0,0,0,0,0,0,100,0,0,100,0,100
103,1663302000,19829.4,19829.4,19804.0,19804.0,1.31497732,26052.438816035,59.557299647359166,12.435988031862507,4.632291451924865,7.803696579937642,20.34342594042589,92.85714285714286,0,0,0,0,0,0,0,0,0,0,-100,0,-100
104,1663302300,19804.1,19804.2,19798.7,19798.8,2.77409982,54932.378778799,58.46557976596311,13.587007501937478,6.423234661927388,7.16377284001009,21.734900228650417,85.71428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1663302600,19798.8,19803.0,19796.8,19799.0,1.4917925,29536.930766544,58.497091049531434,14.388324286544957,8.016252586850902,6.372071699694056,22.92470811392036,71.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1663302900,19799.0,19809.9,19798.8,19800.8,0.22176556,4390.787039149,58.80004863954953,14.99591603432782,9.412185276346285,5.5837307579815345,24.19898338527906,71.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1663303200,19800.8,19809.2,19798.8,19804.9,0.71296512,14120.312226579,59.52479885062242,15.57834480936799,10.645417182950627,4.932927626417364,25.382238994397852,64.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1663303500,19804.9,19804.9,19798.8,19799.4,0.25849133,5118.065557356,58.04958731435049,15.565939803567744,11.629521707074051,3.936418096493693,26.480976345722446,35.714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1663303800,19798.9,19808.3,19798.8,19804.2,3.6922859,73132.630459378,59.00448306723488,15.686691936658463,12.440955752990934,3.2457361836675283,27.59918339659961,35.714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1663304100,19800.0,19826.7,19797.9,19826.7,8.02586555,159032.91276589,63.22964633322522,16.96199483914461,13.345163570221668,3.6168312689229403,29.1288724702307,35.714285714285715,1,0,0,0,0,0,0,0,0,0,0,0,100
111,1663304400,19826.7,19848.0,19823.1,19823.1,2.43345905,48283.526117875,62.126361335876524,17.604526848903333,14.197036225958001,3.407490622945332,31.019361386121613,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,1663304700,19824.6,19834.6,19823.0,19823.1,0.4241482,8409.121087127,62.126361335876524,17.946267085382715,14.946882397842945,2.99938468753977,32.767567150335495,92.85714285714286,1,0,0,0,0,0,0,0,0,0,0,0,0
113,1663305000,19823.1,19830.1,19818.8,19818.8,3.6602828,72551.605198311,60.66011971065972,17.78844118048437,15.51519415437123,2.2732470261131397,34.072659476848166,85.71428571428572,1,0,0,0,0,0,0,0,0,0,0,0,0
114,1663305300,19818.4,19820.2,19798.4,19813.3,0.13266805,2628.48177374,58.75018814962411,17.160176529090677,15.844190629315118,1.3159858997755585,33.8783365884422,78.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0
